sample_id,protein_system,pH,ionic_strength_mM,zeta_mV,radius_nm,temperature_C,replicate,notes
S001,zein_caseinate_bare,4.0,10,,,25,1,
S002,zein_caseinate_bare,4.0,10,,,25,2,
S003,zein_caseinate_bare,5.5,10,,,25,1,
S004,zein_caseinate_bare,5.5,10,,,25,2,
S005,zein_caseinate_bare,7.0,10,,,25,1,
S006,zein_caseinate_bare,7.0,10,,,25,2,
S007,zein_caseinate_bare,4.0,50,,,25,1,
S008,zein_caseinate_bare,4.0,50,,,25,2,
S009,zein_caseinate_bare,5.5,50,,,25,1,
S010,zein_caseinate_bare,5.5,50,,,25,2,
S011,zein_caseinate_bare,7.0,50,,,25,1,
S012,zein_caseinate_bare,7.0,50,,,25,2,
S013,zein_caseinate_bare,4.0,150,,,25,1,
S014,zein_caseinate_bare,4.0,150,,,25,2,
S015,zein_caseinate_bare,5.5,150,,,25,1,
S016,zein_caseinate_bare,5.5,150,,,25,2,
S017,zein_caseinate_bare,7.0,150,,,25,1,
S018,zein_caseinate_bare,7.0,150,,,25,2,
S019,zein_caseinate_protein_exposed,4.0,10,,,25,1,
S020,zein_caseinate_protein_exposed,4.0,10,,,25,2,
S021,zein_caseinate_protein_exposed,5.5,10,,,25,1,
S022,zein_caseinate_protein_exposed,5.5,10,,,25,2,
S023,zein_caseinate_protein_exposed,7.0,10,,,25,1,
S024,zein_caseinate_protein_exposed,7.0,10,,,25,2,
S025,zein_caseinate_protein_exposed,4.0,50,,,25,1,
S026,zein_caseinate_protein_exposed,4.0,50,,,25,2,
S027,zein_caseinate_protein_exposed,5.5,50,,,25,1,
S028,zein_caseinate_protein_exposed,5.5,50,,,25,2,
S029,zein_caseinate_protein_exposed,7.0,50,,,25,1,
S030,zein_caseinate_protein_exposed,7.0,50,,,25,2,
S031,zein_caseinate_protein_exposed,4.0,150,,,25,1,
S032,zein_caseinate_protein_exposed,4.0,150,,,25,2,
S033,zein_caseinate_protein_exposed,5.5,150,,,25,1,
S034,zein_caseinate_protein_exposed,5.5,150,,,25,2,
S035,zein_caseinate_protein_exposed,7.0,150,,,25,1,
S036,zein_caseinate_protein_exposed,7.0,150,,,25,2,
