sample_id,protein_system,pH,ionic_strength_mM,zeta_mV,radius_nm,temperature_C,replicate
S001,zein_caseinate,4.0,10,39.28,123.8,25,1
S002,zein_caseinate,4.0,10,39.95,135.6,25,2
S003,zein_caseinate,4.0,10,35.9,122.2,25,3
S004,zein_caseinate,5.5,10,10.27,128.1,25,1
S005,zein_caseinate,5.5,10,10.05,124.9,25,2
S006,zein_caseinate,5.5,10,11.4,134.7,25,3
S007,zein_caseinate,7.0,10,-36.08,136.8,25,1
S008,zein_caseinate,7.0,10,-35.48,124.8,25,2
S009,zein_caseinate,7.0,10,-35.63,124.2,25,3
S010,zein_caseinate,4.0,50,36.26,129.7,25,1
S011,zein_caseinate,4.0,50,34.66,125.9,25,2
S012,zein_caseinate,4.0,50,36.77,129.1,25,3
S013,zein_caseinate,5.5,50,8.43,127.9,25,1
S014,zein_caseinate,5.5,50,9.87,132.2,25,2
S015,zein_caseinate,5.5,50,9.69,132.6,25,3
S016,zein_caseinate,7.0,50,-29.35,127.6,25,1
S017,zein_caseinate,7.0,50,-33.33,125.1,25,2
S018,zein_caseinate,7.0,50,-31.64,136.8,25,3
S019,zein_caseinate,4.0,150,25.06,125.0,25,1
S020,zein_caseinate,4.0,150,24.0,133.9,25,2
S021,zein_caseinate,4.0,150,26.35,133.3,25,3
S022,zein_caseinate,5.5,150,5.55,131.4,25,1
S023,zein_caseinate,5.5,150,6.73,131.3,25,2
S024,zein_caseinate,5.5,150,7.86,131.3,25,3
S025,zein_caseinate,7.0,150,-22.5,130.4,25,1
S026,zein_caseinate,7.0,150,-23.08,133.8,25,2
S027,zein_caseinate,7.0,150,-25.7,128.1,25,3
