pH,ionic_strength_mM,zeta_mV,radius_nm,n_replicates,kappa_inv_nm,V_max_kT,D_at_barrier_nm,barrier_present,stability_call,radius_outlier
3.0,25.0,8.8,82.96,1,1.9239660062398067,-0.04997131435288116,50.0,False,unstable,False
3.0,50.0,12.35,115.88,1,1.3604494097845667,-0.10343204635865375,50.0,False,unstable,False
3.0,100.0,13.35,175.23,1,0.9619830031199034,-0.2294298162924161,50.0,False,unstable,False
4.0,25.0,4.69,246.16,1,1.9239660062398067,-0.4116916400935847,50.0,False,unstable,False
4.0,50.0,6.56,441.19,1,1.3604494097845667,-1.003467129129249,50.0,False,unstable,False
4.0,100.0,9.05,8404.0,1,0.9619830031199034,-32.100554460050084,50.0,False,unstable,True
5.5,25.0,-14.16,77.13,1,1.9239660062398067,-0.042159318076861935,50.0,False,unstable,False
5.5,50.0,-12.71,72.65,1,1.3604494097845667,-0.03654640328639914,50.0,False,unstable,False
5.5,100.0,-11.4,67.63,1,0.9619830031199034,-0.030680638487235175,50.0,False,unstable,False
7.0,25.0,-11.08,60.06,1,1.9239660062398067,-0.022729521982977674,50.0,False,unstable,False
7.0,50.0,-10.83,64.51,1,1.3604494097845667,-0.027269974846516797,50.0,False,unstable,False
7.0,100.0,-12.47,64.88,1,0.9619830031199034,-0.027664797906321717,50.0,False,unstable,False
