label,pH,I_mM,radius_nm,zeta_mV,group,radius_outlier,V_classic_kT,V_extended_low_kT,barrier_present_low,V_extended_mid_kT,barrier_present_mid,note_mid,V_extended_high_kT,barrier_present_high,stability_classic,stability_extended_mid,V_extended_mid_kT_plot,V_extended_low_kT_plot,V_extended_high_kT_plot
"pH 3.0, 25 mM",3.0,25.0,82.96,8.8,measured grid,False,-0.0499713143528811,1939.6939127709509,False,15165.219388581145,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",56113.879302088724,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 3.0, 50 mM",3.0,50.0,115.88,12.35,measured grid,False,-0.1034320463586537,2713.8476892567915,False,21187.49634085859,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",78385.31108021803,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 3.0, 100 mM",3.0,100.0,175.23,13.35,measured grid,False,-0.2294298162924161,4104.302788479759,False,32039.558684408155,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",118532.25006150475,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 4.0, 25 mM",4.0,25.0,246.16,4.69,measured grid,False,-0.4116916400935847,5742.789967030226,False,44985.74260836867,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",166489.1433353338,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 4.0, 50 mM",4.0,50.0,441.19,6.56,measured grid,False,-1.003467129129249,10296.443997265342,False,80631.1786244676,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",298400.45619486796,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 4.0, 100 mM *",4.0,100.0,8404.0,9.05,measured grid,True,-32.100554460050084,196257.42897312695,False,1536027.391590158,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",5684201.667302764,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 5.5, 25 mM",5.5,25.0,77.13,-14.16,measured grid,False,-0.0421593180768619,1809.7279327616789,False,14105.831837646447,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",52176.83158606545,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 5.5, 50 mM",5.5,50.0,72.65,-12.71,measured grid,False,-0.0365464032863991,1702.4889685262988,False,13284.388990435782,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",49144.08212828928,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 5.5, 100 mM",5.5,100.0,67.63,-11.4,measured grid,False,-0.0306806384872351,1583.2598884375288,False,12364.868952191668,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",45746.71405767043,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 7.0, 25 mM",7.0,25.0,60.06,-11.08,measured grid,False,-0.0227295219829776,1406.509654575557,False,10981.305460712978,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",40626.63470860673,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 7.0, 50 mM",7.0,50.0,64.51,-10.83,measured grid,False,-0.0272699748465167,1510.1357768719854,False,11794.352850696912,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",43636.18085238899,False,unstable,stable (steric-excluded),40.0,40.0,40.0
"pH 7.0, 100 mM",7.0,100.0,64.88,-12.47,measured grid,False,-0.0276647979063217,1519.912832590204,False,11863.115494964424,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",43887.57373011838,False,unstable,stable (steric-excluded),40.0,40.0,40.0
whole milk,6.6,80.0,133.48,-11.86892055104127,target food condition,False,-0.1374310224129328,3124.261896932624,False,24403.7115173659,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",90288.8022268041,False,unstable,stable (steric-excluded),40.0,40.0,40.0
yogurt,4.5,20.0,133.48,-12.6081286442919,target food condition,False,-0.1374310206036784,3127.1116426455574,False,24406.56126307883,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",90291.65197251702,False,unstable,stable (steric-excluded),40.0,40.0,40.0
bread-release,5.3,50.0,133.48,-11.827644595624571,target food condition,False,-0.1374310224129328,3124.690624622517,False,24404.14024505579,False,"steric-excluded: V(D) monotonically repulsive to D_min=0.3nm cutoff -- reported value is D_min-limited, not a true interior barrier",90289.23095449399,False,unstable,stable (steric-excluded),40.0,40.0,40.0
